,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
30133,4wobSR77IcbVP58BUwllTy,Marshmello;Bastille,Workout Hits 2023,Happier,1,214289,False,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.011,4,edm
98592,1YjMV13COo76UnrWAK1Ih7,Sarah Charles Lewis,Tuck Everlasting (Original Broadway Cast Recording),Seventeen - Reprise,23,38080,False,0.559,0.132,2,-18.739,1,0.046,0.91,1.25e-06,0.0884,0.434,46.471,4,show-tunes
86616,3F85FbGU17nTX9tCdxFeiW,Surf Curse,Magic Hour,Fear City,43,275306,False,0.367,0.977,7,-3.739,1,0.174,0.00292,0.0119,0.191,0.344,190.025,4,punk
92510,3c4SjyAymkdkqlY0ebfJzK,BOØWY,MORAL,IMAGE DOWN,28,181845,False,0.718,0.967,9,-4.186,1,0.0508,0.0934,0.0,0.107,0.796,92.6,4,rockabilly
31221,4S4k4hzFHBuTFDQ1NxcHM3,The Chainsmokers,So Far So Good (lofi remixes),Maradona - lofi remix,0,128552,False,0.692,0.369,5,-9.061,1,0.0988,0.931,0.000778,0.105,0.166,77.512,4,electro
1722,3iRkhxe3TU2fiwOLRJWzwx,Jor'dan Armstrong,CHURCH GIRLS LOVE R&B,WRONGS,18,192277,False,0.534,0.631,11,-8.067,0,0.119,0.272,0.0,0.0961,0.506,126.018,4,afrobeat
2875,41Q87dXXetURXvHWQb3Yuo,Andrés Calamaro,Salmonalipsis now,Tuyo siempre,45,194173,False,0.579,0.648,4,-6.624,0,0.0533,0.247,8.64e-06,0.211,0.74,68.467,4,alt-rock
65973,5np2ulL6Jx5AmG8fUU57H6,Dhanush,Power Paandi (Original Motion Picture Soundtrack),Venpani Malare (Ft.Dhanush),43,233736,False,0.671,0.417,0,-10.219,0,0.0428,0.836,0.000337,0.119,0.428,89.96,4,k-pop
96861,7aMj7JnG50vplpdNJRh0z9,Grupo Fundo De Quintal,O Quintal do Samba,Papo de Samba,35,202666,False,0.614,0.933,2,-5.113,1,0.114,0.377,0.0,0.617,0.811,95.618,4,samba
8156,7GPKkJbfSduDWyoVvuaGq9,Nina Simone,Top Trending Romania - Vara 2022,Strange Fruit,1,209578,False,0.445,0.0553,11,-10.806,0,0.053,0.938,0.0,0.0865,0.22,87.228,1,blues
8473,6y20BV5L33R8YXM0YuI38N,Queens of the Stone Age,Songs For The Deaf,No One Knows,72,278746,False,0.509,0.584,0,-4.907,1,0.057,0.0368,9.96e-05,0.384,0.685,170.411,4,blues
58502,3XCgVhWfwWYo1vxKYaeFOe,Marilyn Manson,The Pale Emperor,Deep Six,46,302904,False,0.589,0.942,9,-4.058,0,0.109,0.0016,4.32e-06,0.218,0.301,133.034,4,industrial
146,4MihgVRpD82EZoT61GW63w,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Curbside Prophet,23,214552,False,0.619,0.793,5,-5.964,1,0.0661,0.263,0.0,0.0828,0.892,177.991,4,acoustic
16587,429GaRIWKJ3EU1GAQPbLcr,Wolfgang Amadeus Mozart;London Mozart Players;Howard Shelley,"Mozart: Piano Concertos, Vol. 6","Piano Concerto No. 21 in C Major, K. 467: II. Andante",64,433666,False,0.137,0.0311,5,-28.208,1,0.0381,0.982,0.972,0.0908,0.063,179.223,3,classical
16132,3ZDlAqVNvGOVluvCXp2M30,Pyotr Ilyich Tchaikovsky;phil Blech Wien;Anton Mittermayr,Klassische Weihnachtsmusik,"Der Nussknacker, Op. 71: Ouvertüre",0,193733,False,0.707,0.261,5,-14.57,1,0.0559,0.994,0.904,0.0724,0.576,117.466,4,classical
38886,0vt0KNu6SoecopUq9sp4vS,Scott H. Biram,Nothin' But Blood (Bonus Track Version),Slow & Easy,29,259746,False,0.594,0.481,7,-8.246,1,0.0403,0.82,0.000183,0.102,0.57,114.161,4,garage
113742,732IGuPmiz5jt3iasSLlFi,Hillsong Worship,There Is More,You Are Life - Live,40,203426,False,0.558,0.858,0,-6.5,1,0.0431,0.00571,0.0,0.715,0.269,114.992,4,world-music
91666,5VFKfahPr6qgucDOv7oMIh,Jon Pardi,Mientras hago aromaterapia,Heartache On The Dance Floor,0,205200,False,0.596,0.833,9,-4.308,1,0.0474,0.0563,0.0,0.0866,0.618,115.997,4,rock
18781,6NQh336aUZeqN8lFRhBT4d,Whitney Cummings,Money Shot,Fighting with Women / Just Don't,20,140120,True,0.65,0.85,7,-7.908,1,0.812,0.887,0.0,0.789,0.558,122.03,3,comedy
36560,7KkdYJqxvq4ZFq9gvFy06v,Ottawan,D.I.S.C.O.,D.I.S.C.O. - Single Version,57,196506,False,0.714,0.867,7,-6.295,0,0.0569,0.11,8.98e-05,0.325,0.872,122.915,4,french
753,7nixLKx5skJBEKyiqZmdp7,Ethan Loukas,I Mean Love,I Mean Love,39,193876,False,0.748,0.428,6,-7.019,1,0.0314,0.542,0.0,0.0994,0.565,115.067,4,acoustic
105081,1U6LYBh6HZXaaQu3QJlDLm,DGHTR,On the Cloud,On The Cloud,48,111272,False,0.767,0.319,4,-12.969,0,0.0455,0.632,0.941,0.197,0.152,109.991,4,study
