0,z,brazil,287930,82,0.638,0.38,0.273,0.365,0.159,0.457,0.27,0.142,False,110.0
1,D,sleep,83515,68,0.523,0.223,0.454,0.054,0.722,0.83,0.226,0.197,False,119.0
2,y,sad,207330,43,0.255,0.292,0.324,0.769,0.801,0.661,0.645,0.875,False,102.0
3,Q,ambient,323952,32,0.893,0.432,0.565,0.936,0.91,0.357,0.249,0.352,False,126.0
4,H,cantopop,176382,90,0.808,0.324,0.131,0.544,0.689,0.783,0.066,0.118,False,124.0
5,v,breakbeat,318546,32,0.087,0.136,0.899,0.288,0.78,0.6,0.598,0.064,True,130.0
6,K,r-n-b,219750,90,0.629,0.285,0.085,0.395,0.878,0.467,0.204,0.396,False,110.0
7,N,hardcore,247331,78,0.723,0.435,0.204,0.505,0.83,0.796,0.234,0.972,False,108.0
8,B,dancehall,51364,83,0.259,0.526,0.107,0.892,0.38,0.349,0.593,0.11,False,112.0
9,Y,reggaeton,129285,55,0.155,0.38,0.423,0.116,0.925,0.996,0.334,0.43,True,137.0
10,l,latino,256332,87,0.666,0.089,0.479,0.707,0.963,0.192,0.475,0.322,True,94.0
11,F,breakbeat,227105,21,0.507,0.202,0.982,0.658,0.015,0.144,0.217,0.256,True,135.0
12,I,industrial,154994,34,0.735,0.261,0.45,0.413,0.045,0.265,0.115,0.382,True,74.0
13,J,sleep,102280,48,0.335,0.185,0.854,0.644,0.475,0.354,0.0,0.684,False,91.0
14,S,electronic,126992,21,0.419,0.831,0.155,0.205,0.726,0.302,0.719,0.954,False,71.0
15,d,jazz,155325,27,0.32,0.219,0.664,0.03,0.215,0.504,0.44,0.177,False,125.0
16,S,pop-film,226813,96,0.985,0.879,0.791,0.299,0.392,0.796,0.619,0.283,False,82.0
17,n,funk,75467,96,0.761,0.555,0.163,0.859,0.157,0.691,0.241,0.077,False,92.0
18,f,tango,329656,62,0.807,0.989,0.922,0.586,0.122,0.563,0.984,0.683,False,138.0
19,W,indian,190951,82,0.031,0.402,0.847,0.087,0.367,0.503,0.542,0.984,False,110.0
20,S,trip-hop,96718,10,0.34,0.79,0.397,0.62,0.943,0.642,0.725,0.828,True,78.0
21,X,salsa,117655,91,0.583,0.835,0.533,0.22,0.532,0.511,0.185,0.377,False,121.0
22,A,dancehall,236210,54,0.062,0.391,0.034,0.61,0.72,0.829,0.308,0.19,False,74.0
23,Z,comedy,223891,25,0.03,0.62,0.89,0.078,0.814,0.952,0.782,0.21,False,93.0
24,B,dance,130374,58,0.595,0.561,0.217,0.479,0.964,0.064,0.01,0.766,True,138.0
25,d,disney,222301,5,0.082,0.513,0.007,0.618,0.133,0.029,0.5,0.401,False,136.0
26,i,honky-tonk,161242,42,0.742,0.289,0.687,0.51,0.738,0.86,0.98,0.719,False,90.0
27,a,disco,189896,99,0.463,0.482,0.854,0.611,0.24,0.553,0.266,0.101,False,77.0
28,K,garage,124974,71,0.354,0.774,0.275,0.058,0.313,0.46,0.436,0.27,False,130.0
29,j,comedy,225576,1,0.932,0.612,0.958,0.186,0.599,0.059,0.318,0.765,False,136.0
30,E,j-rock,294267,54,0.391,0.012,0.324,0.636,0.674,0.371,0.801,0.445,False,138.0
31,N,chicago-house,299786,59,0.057,0.252,0.845,0.964,0.965,0.178,0.028,0.43,False,90.0
32,u,alternative,250449,33,0.972,0.266,0.308,0.778,0.244,0.921,0.377,0.024,False,117.0
33,I,indian,155092,20,0.997,0.054,0.307,0.139,0.425,0.549,0.287,0.211,False,121.0
34,V,j-idol,56867,50,0.423,0.227,0.032,0.189,0.1,0.871,0.369,0.063,False,120.0
35,u,rock,126504,16,0.913,0.288,0.398,0.204,0.519,0.739,0.068,0.761,False,99.0
36,g,sad,322263,24,0.532,0.466,0.249,0.834,0.68,0.614,0.059,0.595,False,101.0
37,w,rock-n-roll,179690,41,0.772,0.641,0.995,0.568,0.459,0.355,0.033,0.175,False,75.0
38,H,party,291529,50,0.341,0.183,0.455,0.584,0.289,0.545,0.308,0.197,False,88.0
39,P,children,251193,96,0.232,0.854,0.789,0.649,0.794,0.008,0.585,0.959,False,106.0
40,c,french,307251,29,0.743,0.02,0.218,0.994,0.702,0.048,0.207,0.438,False,107.0
41,q,alternative,66976,38,0.788,0.236,0.541,0.551,0.249,0.027,0.68,0.625,False,117.0
42,F,rockabilly,273006,75,0.845,0.281,0.385,0.565,0.761,0.448,0.458,0.209,False,81.0
43,D,samba,299557,8,0.883,0.701,0.816,0.267,0.211,0.769,0.703,0.664,False,122.0
44,s,industrial,144999,58,0.236,0.735,0.707,0.45,0.839,0.723,0.705,0.958,False,102.0
45,m,mpb,104906,80,0.236,0.607,0.297,0.496,0.74,0.749,0.906,0.616,False,128.0
46,C,punk-rock,284914,72,0.611,0.747,0.733,0.891,0.152,0.281,0.122,0.914,False,75.0
47,c,blues,115129,18,0.292,0.188,0.851,0.995,0.688,0.8,0.526,0.623,False,91.0
48,h,salsa,149815,35,0.351,0.203,0.868,0.496,0.5,0.488,0.305,0.193,False,110.0
49,U,forro,321040,5,0.572,0.326,0.479,0.803,0.203,0.378,0.496,0.189,True,126.0
50,Z,country,311950,79,0.032,0.732,0.121,0.549,0.279,0.202,0.49,0.133,False,102.0
51,q,electronic,212609,97,0.828,0.21,0.681,0.892,0.368,0.905,0.549,0.631,False,110.0
52,n,spanish,220681,60,0.741,0.962,0.607,0.575,0.81,0.413,0.281,0.388,True,118.0
53,p,funk,268855,67,0.896,0.791,0.124,0.115,0.122,0.238,0.597,0.775,False,90.0
54,F,disco,287512,38,0.423,0.374,0.109,0.675,0.88,0.68,0.203,0.405,False,130.0
55,z,pop-film,41633,19,0.929,0.869,0.932,0.581,0.924,0.383,0.64,0.696,True,87.0
56,K,trance,129941,40,0.842,0.11,0.202,0.628,0.71,0.784,0.466,0.919,False,77.0
57,u,edm,43253,60,0.585,0.502,0.755,0.956,0.821,0.576,0.517,0.851,False,116.0
