,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
952,Evaluna Montaner,1495,133,46,0,4,31.07.22
620,Junior H,2190,300,104,0,5,12.09.22
733,Ghostemane,1897,68,140,0,3,19.08.22
366,Charli XCX,3464,,219,0,8,17.09.22
590,Cigarettes After Sex,2297,,30,0,6,30.08.22
104,Gunna,8136,4669,178,2,15,14.09.22
725,Stefflon Don,1914,345,86,0,6,18.08.22
397,The Police,3222,352,122,1,7,16.09.22
581,Brytiago,2325,2046,85,0,5,08.09.22
248,Christina Aguilera,4686,1808,281,0,9,19.08.22
185,Foo Fighters,5761,,237,0,12,15.09.22
997,Gemitaiz,1429,704,174,0,1,31.07.22
44,Selena Gomez,13905,2075,140,3,24,19.09.22
586,Die drei !!!,2317,,3275,0,0,31.07.22
271,Jason Mraz,4439,98,238,1,6,31.07.22
682,Internet Money,2018,372,43,1,5,31.07.22
783,Los Tucanes De Tijuana,1804,5,737,0,1,01.08.22
936,Cash Cash,1516,122,163,0,4,31.07.22
75,Sebastian Yatra,9365,850,126,0,30,19.09.22
227,Slipknot,4980,,208,0,10,11.08.22
478,Kenny Chesney,2772,2245,277,0,3,10.08.22
178,Luke Combs,5890,150,68,0,15,21.08.22
436,BROCKHAMPTON,3002,,113,0,5,31.07.22
736,Lee Brice,1893,14,97,0,6,31.07.22
246,Zion & Lennox,4710,2887,159,0,11,31.07.22
98,P!nk,8243,663,227,0,23,18.09.22
356,Ricky Martin,3568,2478,278,0,8,15.09.22
192,Jack Harlow,5606,315,96,1,10,12.09.22
60,Jason Derulo,11262,742,197,0,28,08.09.22
284,Bizarrap,4326,503,87,0,12,14.09.22
879,ZZ Top,1609,,279,0,4,16.09.22
699,Tee Grizzley,1970,196,145,0,3,31.07.22
288,Macklemore & Ryan Lewis,4290,4,48,1,6,04.09.22
749,Conor Maynard,1867,371,137,0,3,31.07.22
412,ScHoolboy Q,3147,1656,89,0,8,31.07.22
953,Capo Plaza,1494,798,78,0,1,04.09.22
116,YoungBoy Never Broke Again,7762,1355,416,0,8,19.09.22
151,Michael Bublé,6667,313,239,0,18,12.09.22
661,Luísa Sonza,2068,9,66,0,5,19.09.22
225,ABBA,5004,,160,0,14,01.09.22
99,John Mayer,8243,514,208,0,20,16.09.22
244,Madonna,4718,138,762,0,7,20.09.22
229,Gusttavo Lima,4938,876,287,0,9,26.08.22
971,Andrés Calamaro,1463,169,521,0,2,05.09.22
173,Lorde,6006,286,57,0,19,19.09.22
264,Piso 21,4511,62,86,0,12,31.07.22
325,Billy Joel,3885,18,383,0,10,16.08.22
